source:test_barley/clusters_cds_t3	Alexis.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	AmagiNijo.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Beiqing5.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Esterel.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Franka.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Himala2.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Hs_ECI-2-0.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Hs_Turkey-19-24.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Hs_XZ2.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Morex_MIPS_cDNAs.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Padanggamu.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	SBCC073_fLF.Trinity.fna.gz_l50_E1e-05.diamond.cds.fna.gz.nucl	Scarlett_fLF.Trinity.fna.gz_l50_E1e-05.diamond.cds.fna.gz.nucl	TX9425.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	Yiwuerleng.trinity.fna.bz2_l50_E1e-05.diamond.cds.fna.gz.nucl	
18_TR1846-c0_g4_i1.fna	1	1	2	1	1	4	2	2	2	7	5	2	3	4	7	
20_TR17549-c0_g1_i1.fna	1	3	2	3	2	4	1	2	2	1	7	7	6	8	8	
22_TR35193-c0_g1_i1.fna	1	2	1	1	2	1	2	2	1	5	1	1	5	2	5	
24_TR27684-c0_g1_i1.fna	1	5	5	4	2	9	4	1	5	6	10	8	5	7	7	
25_TR36042-c0_g1_i1.fna	4	3	2	2	1	2	2	4	3	3	2	2	1	2	5	
27_TR26879-c0_g1_i1.fna	2	1	1	2	1	3	1	2	2	6	1	4	2	1	4	
29_TR18643-c0_g2_i1.fna	3	1	1	3	3	2	1	1	1	3	1	4	1	1	1	
30_TR9290-c0_g3_i1.fna	1	1	2	1	1	1	1	1	2	5	1	1	1	1	4	
32_TR12856-c0_g1_i1.fna	1	3	6	1	4	8	3	1	2	1	8	6	4	8	5	
33_TR8235-c0_g1_i1.fna	1	1	1	1	1	2	2	3	2	4	1	1	3	2	4	
34_TR9290-c0_g2_i1.fna	2	1	4	1	1	1	2	1	1	3	1	5	2	2	3	
35_TR20828-c0_g1_i1.fna	1	2	2	1	2	7	2	2	2	3	6	5	1	5	5	
36_TR30968-c0_g1_i1.fna	1	1	2	1	1	1	1	3	2	6	3	2	2	2	6	
37_TR13334-c4_g1_i3.fna	1	2	2	1	1	1	1	1	2	2	1	3	2	1	4	
38_TR20417-c0_g1_i1.fna	1	2	2	2	2	3	1	2	1	2	3	7	4	4	7	
39_TR35420-c0_g1_i1.fna	1	2	1	2	1	1	1	2	1	3	3	2	1	1	6	
40_TR22695-c0_g1_i1.fna	1	2	2	4	4	5	3	2	1	7	3	3	3	1	2	
41_TR34189-c3_g1_i1.fna	4	1	2	2	3	3	4	4	1	12	9	4	2	2	13	
42_TR9522-c0_g1_i1.fna	2	1	3	1	1	2	1	1	1	3	6	1	1	2	4	
43_TR19584-c0_g1_i1.fna	4	5	4	4	3	8	6	2	7	2	6	5	7	8	10	
45_TR10695-c0_g1_i1.fna	2	2	1	1	1	4	1	2	2	6	3	6	4	2	2	
46_TR20684-c0_g1_i1.fna	2	1	1	1	1	1	1	1	1	4	5	1	2	1	5	
48_TR27855-c0_g1_i1.fna	1	1	1	1	3	1	1	2	1	1	1	2	1	1	5	
49_TR22557-c0_g2_i1.fna	1	2	2	1	1	2	1	2	1	3	5	1	0	3	5	
50_TR23868-c0_g2_i1.fna	2	1	1	1	1	1	2	2	1	2	1	2	1	1	2	
51_TR3869-c0_g2_i1.fna	2	1	1	2	2	3	1	2	2	6	2	2	2	2	5	
52_TR32861-c0_g2_i1.fna	2	1	1	1	2	1	1	1	2	4	1	2	2	1	7	
53_TR26963-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	4	1	1	1	2	3	
54_TR18413-c0_g1_i1.fna	1	1	2	1	2	2	2	2	2	5	1	1	2	1	4	
55_TR2499-c0_g2_i1.fna	3	3	2	1	1	3	1	2	1	11	3	1	3	5	9	
56_TR2044-c0_g1_i2.fna	2	3	1	3	2	2	4	1	4	3	3	2	2	3	4	
57_TR20490-c0_g1_i1.fna	1	1	1	1	1	1	2	2	1	3	1	2	3	1	3	
59_TR9894-c0_g1_i1.fna	1	1	2	1	1	1	3	0	0	7	4	2	1	1	4	
61_TR24351-c0_g1_i1.fna	2	1	2	1	1	2	1	1	1	7	2	1	1	2	6	
62_TR33383-c0_g2_i2.fna	3	6	7	4	3	4	6	5	5	12	5	3	5	3	6	
63_TR18072-c0_g1_i1.fna	1	1	4	1	1	2	1	1	2	6	4	4	2	5	3	
64_TR18043-c0_g1_i1.fna	2	2	1	2	2	2	2	2	2	3	2	3	3	3	3	
66_TR5632-c0_g1_i1.fna	2	3	3	1	2	1	1	1	1	8	6	4	1	4	7	
67_TR878-c0_g1_i1.fna	1	2	1	2	1	1	1	1	1	1	1	3	2	1	4	
68_TR22197-c1_g1_i2.fna	1	5	5	2	1	7	11	2	4	3	7	11	8	5	8	
69_TR27825-c0_g1_i1.fna	2	3	4	3	2	4	3	8	6	9	5	6	4	5	9	
70_TR21819-c0_g1_i2.fna	2	2	2	1	4	2	2	5	1	10	3	3	8	3	4	
71_TR32885-c0_g1_i1.fna	4	0	0	3	2	0	2	0	4	4	0	0	3	0	0	
73_TR22907-c0_g1_i1.fna	1	4	4	1	2	5	1	1	2	3	3	2	3	6	6	
74_TR10249-c0_g1_i1.fna	2	2	1	1	1	1	2	1	1	8	2	3	3	3	6	
75_TR34044-c0_g1_i7.fna	8	6	10	10	7	4	7	12	6	3	8	10	11	6	13	
77_TR12835-c0_g1_i1.fna	1	2	1	1	1	4	1	1	1	6	3	4	2	2	6	
79_TR11756-c0_g1_i1.fna	1	2	2	3	1	3	1	3	3	2	3	2	3	2	3	
80_TR24151-c0_g2_i1.fna	2	1	1	1	1	2	1	2	2	10	2	2	2	2	3	
82_TR10409-c0_g1_i1.fna	1	1	1	2	2	2	2	1	1	3	2	4	2	1	2	
84_TR14655-c0_g1_i1.fna	1	1	1	2	1	1	1	1	1	3	2	4	1	2	3	
87_TR15802-c0_g1_i1.fna	1	1	3	1	1	1	1	1	2	4	2	3	1	1	4	
88_TR35331-c1_g2_i2.fna	1	3	2	2	1	4	2	5	1	3	1	3	1	1	2	
90_TR34041-c0_g1_i1.fna	1	1	1	2	1	3	1	1	2	5	1	2	4	1	3	
91_TR29286-c0_g1_i1.fna	1	1	3	1	1	5	1	1	1	3	5	5	3	2	6	
92_TR6622-c0_g2_i1.fna	2	1	3	1	2	4	2	1	2	2	2	2	2	2	2	
93_TR19620-c3_g1_i2.fna	2	1	1	2	1	1	1	1	2	10	2	2	1	1	2	
94_TR14713-c0_g2_i1.fna	1	3	2	1	3	4	2	2	2	1	7	4	3	2	6	
95_TR15290-c0_g1_i1.fna	1	1	1	2	1	2	1	2	1	1	1	1	0	1	3	
96_TR7050-c0_g1_i1.fna	1	2	1	2	2	2	1	1	2	3	1	1	1	3	3	
97_TR707-c0_g1_i2.fna	2	2	1	1	3	1	2	1	4	2	2	2	2	1	2	
98_TR7820-c0_g1_i2.fna	4	7	8	6	8	4	5	6	4	8	9	11	9	7	7	
102_TR11015-c0_g1_i2.fna	4	1	0	4	0	4	3	7	0	2	0	1	3	0	1	
104_TR11015-c0_g1_i6.fna	5	1	8	4	8	4	2	1	7	2	4	6	3	5	3	
107_TR13308-c0_g1_i3.fna	2	4	2	3	3	3	0	3	0	1	4	4	3	2	2	
108_TR7532-c0_g1_i2.fna	2	4	2	5	7	9	4	1	4	10	6	6	3	9	6	
109_TR4835-c1_g1_i1.fna	1	2	3	4	2	5	2	5	2	2	4	8	4	2	4	
110_TR6622-c0_g1_i1.fna	1	2	1	1	1	1	2	1	1	2	2	2	1	1	1	
113_TR20605-c0_g1_i1.fna	1	2	1	2	2	1	1	1	2	2	1	2	1	2	2	
114_TR30279-c0_g1_i1.fna	1	1	1	1	1	1	1	1	2	4	1	1	1	1	5	
115_TR16749-c0_g1_i1.fna	2	2	2	1	3	5	1	1	1	1	2	1	1	1	3	
117_TR9350-c0_g1_i1.fna	1	1	1	1	1	1	1	0	1	4	3	5	4	1	3	
121_TR16958-c0_g2_i2.fna	3	1	1	1	1	1	2	2	1	6	2	3	2	1	5	
122_TR12409-c0_g1_i1.fna	1	1	1	1	1	1	1	2	1	5	1	1	2	1	2	
126_TR20604-c0_g1_i1.fna	1	1	1	1	2	1	1	2	1	3	1	3	1	1	4	
128_TR3065-c0_g1_i1.fna	1	5	5	1	3	5	2	1	2	1	3	3	2	6	6	
129_TR17019-c0_g1_i1.fna	1	1	1	1	2	3	1	1	1	2	4	2	2	2	7	
130_TR28262-c0_g1_i1.fna	1	2	3	2	3	2	3	3	3	1	5	2	2	2	4	
131_TR23440-c0_g1_i3.fna	3	1	2	3	2	1	2	3	5	9	3	6	6	3	6	
134_TR2580-c0_g1_i2.fna	3	2	1	5	3	4	2	4	4	4	7	2	4	4	6	
135_TR6924-c0_g1_i1.fna	2	1	2	1	2	3	1	2	2	3	2	5	1	3	4	
136_TR3482-c1_g1_i1.fna	2	1	4	7	6	2	3	5	5	2	4	4	3	3	3	
137_TR10179-c0_g1_i1.fna	2	3	4	1	2	4	1	2	3	4	6	7	3	7	7	
139_TR8909-c0_g1_i1.fna	1	1	3	6	3	2	2	2	2	1	2	2	1	5	4	
140_TR3482-c1_g1_i2.fna	2	0	3	2	4	0	5	2	1	3	4	4	2	0	2	
141_TR8909-c0_g2_i1.fna	1	4	1	3	3	6	1	4	2	2	3	2	2	1	5	
143_TR1908-c0_g1_i1.fna	1	4	2	1	2	2	1	1	2	9	3	4	2	4	4	
144_TR25405-c0_g1_i1.fna	2	5	4	3	3	7	3	1	2	3	9	7	1	8	7	
145_TR22928-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	
147_TR25593-c0_g1_i1.fna	1	1	1	1	1	1	2	1	1	5	2	2	1	1	2	
148_TR6112-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	
149_TR24091-c1_g1_i2.fna	2	1	2	1	2	0	2	1	2	2	1	2	3	1	2	
150_TR25324-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	6	4	1	1	2	4	
151_TR17824-c0_g1_i1.fna	1	3	3	3	1	7	2	1	5	6	4	2	2	5	4	
152_TR723-c0_g1_i1.fna	1	2	1	2	2	5	2	3	1	2	5	4	1	2	6	
153_TR24197-c0_g2_i1.fna	1	1	1	2	2	1	1	1	3	4	1	3	1	3	6	
154_TR31703-c0_g1_i1.fna	1	1	2	1	2	1	1	1	1	1	2	1	2	1	2	
155_TR34256-c0_g1_i1.fna	1	1	1	2	1	3	1	1	1	3	3	4	3	2	4	
156_TR19308-c0_g2_i1.fna	2	1	1	1	1	1	2	2	2	2	1	2	1	1	1	
158_TR6748-c0_g1_i1.fna	1	2	1	2	4	7	1	1	1	5	5	4	2	3	6	
159_TR28371-c0_g1_i1.fna	1	1	1	2	1	1	1	1	1	3	1	1	3	2	1	
160_TR24628-c0_g1_i1.fna	1	5	2	2	3	4	1	2	2	2	3	5	4	5	3	
161_TR11493-c0_g1_i1.fna	1	1	1	1	1	2	1	3	1	2	1	1	2	1	2	
162_TR11858-c0_g2_i1.fna	1	2	4	2	1	2	1	1	1	14	3	1	1	4	4	
163_TR10171-c0_g1_i1.fna	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	
164_TR24278-c0_g2_i6.fna	2	1	2	3	1	2	4	1	2	2	1	1	2	1	2	
165_TR35924-c0_g2_i1.fna	2	2	1	2	1	1	1	1	2	1	1	2	1	1	2	
169_TR24054-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	1	2	2	2	1	4	
170_TR4295-c0_g3_i2.fna	3	2	1	1	2	2	1	4	1	4	1	3	2	2	4	
171_TR36357-c0_g1_i1.fna	1	4	5	1	1	4	3	1	1	2	5	2	1	4	4	
172_TR8839-c0_g1_i4.fna	3	6	3	8	5	9	14	7	3	0	7	5	3	4	4	
173_TR32955-c0_g1_i1.fna	1	2	1	1	1	5	2	2	5	4	5	1	1	6	5	
174_TR17947-c0_g1_i1.fna	1	2	1	1	3	1	1	1	1	7	1	1	1	7	3	
175_TR23852-c1_g1_i1.fna	1	1	1	1	1	2	1	1	1	2	2	3	2	1	4	
176_TR13252-c0_g1_i1.fna	1	2	3	2	3	4	1	2	3	2	3	2	2	2	5	
179_TR14327-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	3	2	3	1	2	2	
180_TR17130-c0_g1_i1.fna	1	4	2	2	3	5	2	2	1	6	5	4	1	5	5	
182_TR17763-c0_g1_i1.fna	1	1	1	1	4	2	1	2	2	3	2	2	1	2	2	
185_TR2720-c0_g1_i1.fna	2	4	2	1	2	6	1	2	3	4	5	2	2	5	5	
186_TR29322-c0_g1_i1.fna	1	2	1	3	1	3	2	5	2	2	2	4	4	1	3	
188_TR32680-c0_g2_i1.fna	2	2	1	1	1	3	1	2	1	6	4	3	1	2	4	
189_TR2265-c0_g1_i1.fna	1	3	1	1	2	7	1	4	3	2	6	3	1	4	7	
191_TR9902-c0_g1_i1.fna	1	1	2	2	1	1	2	2	3	4	1	3	2	2	4	
192_TR20625-c0_g1_i1.fna	1	1	2	1	1	1	1	1	1	5	1	4	2	1	4	
193_TR3952-c1_g2_i1.fna	1	1	1	1	1	1	3	3	1	1	2	2	2	1	1	
194_TR17707-c0_g1_i3.fna	3	4	4	5	5	3	8	9	5	2	7	3	2	5	5	
195_TR4748-c0_g1_i1.fna	1	5	1	1	1	1	1	2	1	1	1	1	1	1	2	
197_TR404-c0_g1_i1.fna	2	3	1	1	1	1	1	3	2	6	2	1	2	1	1	
198_TR3163-c0_g1_i1.fna	1	1	1	1	2	2	4	2	1	2	2	1	2	1	2	
199_TR8804-c0_g1_i1.fna	1	1	1	1	1	2	1	2	1	2	4	2	1	2	3	
200_TR35431-c0_g2_i1.fna	1	1	1	2	2	1	2	1	1	1	1	2	1	3	2	
203_TR27883-c0_g1_i1.fna	1	5	4	3	5	6	4	4	4	2	6	2	3	3	10	
204_TR22385-c0_g1_i1.fna	1	4	4	2	2	5	2	4	2	4	4	5	4	4	6	
205_TR20246-c0_g1_i1.fna	1	2	3	1	1	3	1	2	1	7	2	1	1	2	4	
206_TR31097-c0_g1_i1.fna	1	2	2	2	3	2	2	1	5	3	3	2	4	2	1	
208_TR13495-c2_g1_i1.fna	5	5	7	2	9	3	9	8	12	0	5	1	5	3	7	
209_TR10342-c0_g2_i1.fna	2	5	3	2	1	5	2	3	2	5	5	4	3	3	5	
210_TR1073-c0_g1_i2.fna	2	2	2	1	2	1	1	3	2	4	1	5	4	1	1	
211_TR14754-c0_g1_i1.fna	1	2	3	1	1	1	2	1	1	6	4	1	1	1	4	
212_TR35217-c0_g1_i1.fna	1	2	1	1	1	2	1	2	4	3	6	3	1	4	6	
213_TR15491-c0_g1_i1.fna	2	1	1	2	2	1	2	1	2	1	2	3	1	1	2	
214_TR18777-c0_g1_i1.fna	1	2	5	1	1	1	2	2	2	3	3	6	2	1	2	
216_TR31395-c0_g1_i1.fna	2	3	1	2	2	4	1	1	2	4	5	6	3	8	5	
219_TR31223-c0_g1_i1.fna	1	1	3	2	2	1	2	2	2	1	3	4	1	2	6	
220_TR16221-c0_g1_i1.fna	1	2	1	1	1	1	1	2	3	2	1	1	1	1	1	
221_TR17794-c0_g1_i1.fna	1	2	1	1	1	1	2	1	2	3	5	1	1	1	4	
222_TR35043-c0_g1_i1.fna	1	1	1	1	2	2	3	1	2	4	1	1	2	1	2	
223_TR9202-c2_g1_i1.fna	1	1	1	1	1	1	3	1	1	1	1	2	1	3	2	
224_TR22149-c0_g1_i1.fna	2	4	2	2	1	4	1	3	2	2	4	1	2	3	3	
226_TR4757-c0_g1_i1.fna	1	1	2	2	2	5	1	1	1	2	4	1	1	5	6	
227_TR36138-c0_g1_i1.fna	1	2	1	1	2	3	2	2	3	3	4	1	1	4	3	
228_TR23550-c0_g1_i2.fna	2	1	1	1	3	1	1	1	1	4	1	3	2	1	2	
229_TR34708-c0_g3_i1.fna	1	2	3	5	3	2	3	4	4	7	2	2	3	2	3	
230_TR18899-c0_g1_i3.fna	4	5	6	6	7	5	6	6	2	4	5	4	2	4	9	
231_TR16671-c0_g1_i1.fna	1	1	1	1	2	2	1	1	1	5	1	1	2	2	1	
235_TR33455-c0_g2_i1.fna	2	2	2	1	1	3	1	2	2	6	1	3	2	3	1	
236_TR27242-c0_g1_i3.fna	1	1	2	3	2	3	2	2	2	3	1	2	1	1	5	
237_TR30932-c0_g2_i1.fna	2	1	1	1	2	1	1	1	1	2	1	2	1	1	1	
238_TR7086-c0_g7_i10.fna	4	1	2	1	1	3	2	1	1	5	2	2	2	3	2	
239_TR34501-c0_g1_i2.fna	3	4	3	2	2	2	4	2	3	3	3	5	6	3	4	
240_TR36025-c1_g1_i1.fna	1	2	2	2	2	3	3	3	2	3	2	2	2	3	2	
241_TR121-c0_g1_i1.fna	1	1	3	1	1	1	2	1	3	6	1	1	3	2	1	
244_TR6519-c0_g1_i1.fna	1	2	1	2	2	4	1	2	1	3	4	6	1	3	3	
245_TR33521-c0_g1_i1.fna	1	1	1	1	2	1	1	1	1	3	1	2	2	1	2	
246_TR4023-c0_g2_i1.fna	2	1	2	1	1	3	1	1	2	3	1	2	1	1	2	
250_TR2737-c0_g1_i1.fna	1	1	1	1	1	1	1	0	1	1	1	2	1	1	3	
253_TR10611-c0_g2_i1.fna	1	2	1	1	2	1	1	1	1	3	2	1	1	1	4	
254_TR16532-c0_g1_i1.fna	1	3	2	2	2	5	1	1	2	4	3	1	1	7	4	
256_TR30103-c1_g1_i8.fna	6	3	3	4	4	6	2	6	4	9	3	6	3	3	6	
257_TR25471-c0_g1_i1.fna	1	1	1	2	1	1	1	1	2	4	1	1	1	1	2	
259_TR20958-c1_g1_i6.fna	2	0	2	0	0	0	0	0	0	0	0	3	0	0	0	
261_TR21420-c0_g1_i2.fna	2	1	1	1	1	1	1	1	1	3	2	2	2	1	2	
262_TR15394-c0_g2_i1.fna	2	1	2	1	2	2	2	1	2	7	2	1	1	2	3	
265_TR23467-c3_g5_i11.fna	2	1	0	2	4	0	2	0	0	1	0	5	4	2	4	
266_TR1898-c1_g2_i1.fna	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	
268_TR29778-c1_g1_i1.fna	1	2	3	2	2	1	1	2	3	3	2	2	3	2	4	
269_TR29778-c1_g2_i1.fna	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	
270_TR36025-c1_g1_i3.fna	2	4	1	3	0	2	5	1	5	1	4	5	5	2	3	
271_TR35318-c0_g1_i3.fna	2	1	4	2	1	1	1	2	1	13	2	4	6	2	3	
272_TR3725-c0_g1_i1.fna	1	2	1	1	1	3	1	2	2	1	3	3	1	3	3	
273_TR34164-c0_g1_i1.fna	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	
274_TR28622-c0_g1_i1.fna	1	3	3	1	2	3	1	1	1	5	3	1	3	4	5	
275_TR10139-c0_g2_i2.fna	2	4	3	1	3	1	2	5	1	8	3	5	2	1	1	
277_TR890-c1_g1_i1.fna	1	1	3	1	1	3	1	1	3	2	3	1	2	5	5	
278_TR31292-c1_g1_i8.fna	8	4	4	0	5	0	3	4	0	1	0	6	5	2	8	
279_TR12754-c0_g1_i1.fna	1	1	2	2	1	1	1	2	1	3	2	1	3	2	1	
281_TR34714-c0_g1_i1.fna	1	1	1	1	2	1	2	2	1	6	2	6	2	3	1	
282_TR10112-c0_g1_i1.fna	1	1	1	1	1	1	2	1	1	6	1	1	1	1	1	
283_TR10904-c0_g1_i1.fna	1	2	1	2	1	1	2	1	1	4	1	2	1	1	1	
284_TR13725-c0_g1_i1.fna	2	4	5	4	4	6	7	2	4	1	8	5	4	4	3	
285_TR15258-c0_g2_i5.fna	2	4	5	0	2	5	1	4	2	5	4	5	6	5	3	
287_TR16634-c0_g2_i1.fna	1	1	1	2	1	1	1	1	2	1	1	1	2	2	2	
289_TR7730-c0_g2_i2.fna	3	1	2	1	1	3	2	2	2	5	2	4	5	1	2	
290_TR15903-c1_g1_i1.fna	2	2	5	1	2	5	1	2	3	9	2	1	2	1	4	
291_TR13206-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	4	1	2	2	2	1	
293_TR9851-c0_g1_i1.fna	1	3	3	1	3	4	2	2	3	3	6	3	2	4	6	
294_TR27198-c0_g1_i1.fna	1	2	1	1	1	1	1	1	1	6	1	2	2	3	3	
295_TR35797-c1_g1_i1.fna	1	1	2	1	1	1	1	1	1	1	4	1	2	3	3	
296_TR6277-c0_g2_i1.fna	1	2	1	2	1	1	1	1	1	7	1	4	2	1	5	
297_TR18058-c0_g1_i1.fna	1	1	1	1	1	4	2	2	1	3	2	1	1	5	5	
298_TR5920-c0_g2_i1.fna	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	
300_TR6245-c0_g1_i1.fna	1	1	2	1	1	2	1	0	1	1	2	1	1	1	3	
301_TR9522-c1_g1_i1.fna	1	2	1	0	1	3	1	0	0	6	4	4	2	3	4	
302_TR4958-c0_g1_i1.fna	2	2	1	1	1	1	1	2	2	5	2	1	3	1	2	
303_TR17762-c0_g2_i1.fna	1	1	1	2	1	1	1	2	1	1	3	4	2	1	1	
304_TR30300-c0_g1_i1.fna	1	1	1	1	2	2	1	2	1	6	3	1	1	1	1	
305_TR12618-c0_g2_i1.fna	2	1	1	1	1	3	1	2	1	1	1	1	1	3	4	
306_TR26675-c1_g1_i2.fna	1	4	4	2	2	3	1	3	3	6	4	3	2	2	1	
307_TR26825-c1_g1_i1.fna	2	5	5	5	1	6	3	6	10	1	5	3	0	3	3	
309_TR35018-c0_g2_i1.fna	2	1	1	2	2	2	1	2	1	1	3	1	2	1	4	
310_TR14849-c0_g1_i1.fna	1	3	1	1	1	4	1	1	1	5	4	1	1	4	3	
311_TR19104-c0_g1_i1.fna	2	2	1	1	1	2	1	1	1	3	1	1	1	1	3	
312_TR19250-c0_g1_i1.fna	2	4	2	0	2	4	2	2	2	4	3	3	3	1	3	
313_TR11551-c0_g1_i1.fna	2	3	2	2	1	1	1	2	2	2	2	1	2	1	2	
316_TR16584-c0_g1_i1.fna	3	4	2	2	3	2	1	2	2	3	4	2	2	1	4	
319_TR5949-c0_g1_i1.fna	1	1	2	2	1	2	1	3	3	5	2	3	2	2	1	
321_TR14662-c0_g1_i1.fna	1	1	1	1	1	1	2	1	2	2	1	2	1	1	3	
322_TR19747-c0_g1_i1.fna	2	2	1	1	2	1	1	1	1	2	2	1	2	2	1	
323_TR26798-c0_g1_i1.fna	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	
324_TR18053-c0_g1_i1.fna	1	1	2	1	2	2	1	2	1	2	1	2	2	2	3	
325_TR20664-c0_g1_i1.fna	3	1	3	2	2	3	2	1	1	4	4	2	2	3	3	
327_TR25337-c0_g2_i2.fna	3	3	5	3	4	2	3	5	2	4	3	3	4	2	5	
330_TR23357-c0_g1_i1.fna	1	4	4	2	1	5	1	1	3	1	4	2	3	4	3	
331_TR16147-c0_g1_i1.fna	1	1	1	2	1	3	1	1	1	1	4	2	2	3	4	
333_TR24058-c0_g1_i1.fna	1	1	2	1	2	4	1	1	2	1	2	4	2	2	4	
334_TR27625-c0_g1_i1.fna	2	4	3	2	2	1	5	4	2	2	3	2	4	3	5	
335_TR1115-c0_g1_i1.fna	1	3	3	2	1	5	1	2	2	8	5	1	3	3	3	
338_TR22766-c0_g1_i1.fna	1	0	1	0	0	0	1	0	0	3	0	0	2	0	0	
339_TR3631-c0_g1_i2.fna	3	4	4	5	4	6	7	5	6	7	7	4	8	8	10	
342_TR15258-c0_g2_i2.fna	3	5	15	6	19	7	12	3	17	2	3	1	12	3	7	
343_TR28216-c0_g1_i1.fna	1	1	1	1	1	1	1	1	1	3	2	1	1	1	3	
345_TR29265-c0_g1_i1.fna	1	0	0	0	0	0	0	1	4	0	0	1	0	0	0	
346_TR14671-c0_g1_i1.fna	1	3	6	2	1	4	2	3	2	4	5	3	5	7	5	
347_TR21071-c0_g5_i1.fna	1	1	0	3	1	0	0	0	0	0	0	0	2	1	1	
348_TR36002-c1_g1_i1.fna	2	4	2	4	2	4	3	1	4	3	3	4	3	7	6	
349_TR2194-c0_g1_i2.fna	3	2	1	2	1	1	2	1	2	1	1	2	2	1	2	
