# /home/contrera/soft/github/get_homologues//pfam_enrich.pl -d cds_est_homologues -c clusters_cds -x clusters_cds_t3/SBCC073_pangenes_list.txt -n 1 -s 0 -e 1 -t greater -p 1.00 -r SBCC073 -f SBCC073_accessory.fna

# parsing clusters...
# 39538 sequences extracted from 112499 clusters

# total experiment sequence ids = 6304
# total control    sequence ids = 39538

# parse_Pfam_freqs: set1 = 813 Pfams set2 = 3863 Pfams


# created FASTA file: SBCC073_accessory.fna

# sequences=6304 mean length=400.3 , seqs/cluster=1.14

# fisher exact test type: 'greater'
# multi-testing p-value adjustment: fdr
# adjusted p-value threshold: 1

# total annotated domains: experiment=1898 control=19558

#PfamID	counts(exp)	counts(ctr)	freq(exp)	freq(ctr)	p-value	p-value(adj)	description
PF05911	3	6	1.581e-03	3.068e-04	3.880e-02	1.000e+00	Filament-like plant protein, long coiled-coil
PF03478	5	17	2.634e-03	8.692e-04	4.001e-02	1.000e+00	Protein of unknown function (DUF295)
PF03552	5	17	2.634e-03	8.692e-04	4.001e-02	1.000e+00	Cellulose synthase
PF03604	2	2	1.054e-03	1.023e-04	4.165e-02	1.000e+00	DNA directed RNA polymerase, 7 kDa subunit
PF05188	2	2	1.054e-03	1.023e-04	4.165e-02	1.000e+00	MutS domain II
PF05839	2	2	1.054e-03	1.023e-04	4.165e-02	1.000e+00	Apc13p protein
PF06172	2	2	1.054e-03	1.023e-04	4.165e-02	1.000e+00	Cupin superfamily (DUF985)
PF07172	2	2	1.054e-03	1.023e-04	4.165e-02	1.000e+00	Glycine rich protein family
PF00083	11	59	5.796e-03	3.017e-03	4.341e-02	1.000e+00	Sugar (and other) transporter
PF04827	4	12	2.107e-03	6.136e-04	4.711e-02	1.000e+00	Plant transposon protein
PF13967	4	12	2.107e-03	6.136e-04	4.711e-02	1.000e+00	Late exocytosis, associated with Golgi transport
PF01055	3	7	1.581e-03	3.579e-04	5.185e-02	1.000e+00	Glycosyl hydrolases family 31
PF04525	3	7	1.581e-03	3.579e-04	5.185e-02	1.000e+00	LURP-one-related
PF07058	3	7	1.581e-03	3.579e-04	5.185e-02	1.000e+00	Microtubule-associated protein 70
PF01852	4	13	2.107e-03	6.647e-04	5.742e-02	1.000e+00	START domain
PF02181	4	13	2.107e-03	6.647e-04	5.742e-02	1.000e+00	Formin Homology 2 Domain
PF01624	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	MutS domain I
PF01781	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	Ribosomal L38e protein family
PF01844	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	HNH endonuclease
PF02133	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	Permease for cytosine/purines, uracil, thiamine, allantoin
PF02320	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	Ubiquinol-cytochrome C reductase hinge protein
PF02867	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	Ribonucleotide reductase, barrel domain
PF03661	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	Transmembrane protein 33/Nucleoporin POM33
PF04096	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	Nucleoporin autopeptidase
PF04437	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	RINT-1 / TIP-1 family
PF05562	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	Cold acclimation protein WCOR413
PF15365	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	Proline-rich nuclear receptor coactivator motif
PF16639	2	3	1.054e-03	1.534e-04	6.538e-02	1.000e+00	Apocytochrome F, N-terminal
PF13947	7	34	3.688e-03	1.738e-03	6.658e-02	1.000e+00	Wall-associated receptor kinase galacturonan-binding
PF03547	3	8	1.581e-03	4.090e-04	6.672e-02	1.000e+00	Membrane transport protein
PF00067	20	138	1.054e-02	7.056e-03	6.723e-02	1.000e+00	Cytochrome P450
PF05699	4	14	2.107e-03	7.158e-04	6.882e-02	1.000e+00	hAT family C-terminal dimerisation region
PF00251	5	21	2.634e-03	1.074e-03	7.465e-02	1.000e+00	Glycosyl hydrolases family 32 N-terminal domain
PF00179	10	58	5.269e-03	2.966e-03	7.591e-02	1.000e+00	Ubiquitin-conjugating enzyme
PF02902	4	15	2.107e-03	7.669e-04	8.130e-02	1.000e+00	Ulp1 protease family, C-terminal catalytic domain
PF02985	3	9	1.581e-03	4.602e-04	8.328e-02	1.000e+00	HEAT repeat
PF17921	3	9	1.581e-03	4.602e-04	8.328e-02	1.000e+00	Integrase zinc binding domain
PF00276	2	4	1.054e-03	2.045e-04	9.242e-02	1.000e+00	Ribosomal protein L23
PF00281	2	4	1.054e-03	2.045e-04	9.242e-02	1.000e+00	Ribosomal protein L5
PF00521	2	4	1.054e-03	2.045e-04	9.242e-02	1.000e+00	DNA gyrase/topoisomerase IV, subunit A
PF00673	2	4	1.054e-03	2.045e-04	9.242e-02	1.000e+00	ribosomal L5P family C-terminus
PF00955	2	4	1.054e-03	2.045e-04	9.242e-02	1.000e+00	HCO3- transporter family
PF01142	2	4	1.054e-03	2.045e-04	9.242e-02	1.000e+00	tRNA pseudouridine synthase D (TruD)
PF05192	2	4	1.054e-03	2.045e-04	9.242e-02	1.000e+00	MutS domain III
PF13304	2	4	1.054e-03	2.045e-04	9.242e-02	1.000e+00	AAA domain, putative AbiEii toxin, Type IV TA system
PF00240	8	45	4.215e-03	2.301e-03	9.354e-02	1.000e+00	Ubiquitin family
PF02705	6	30	3.161e-03	1.534e-03	9.435e-02	1.000e+00	K+ potassium transporter
PF08276	6	30	3.161e-03	1.534e-03	9.435e-02	1.000e+00	PAN-like domain
PF02984	4	16	2.107e-03	8.181e-04	9.480e-02	1.000e+00	Cyclin, C-terminal domain
PF00790	3	10	1.581e-03	5.113e-04	1.014e-01	1.000e+00	VHS domain
PF07731	3	10	1.581e-03	5.113e-04	1.014e-01	1.000e+00	Multicopper oxidase
PF08392	3	10	1.581e-03	5.113e-04	1.014e-01	1.000e+00	FAE1/Type III polyketide synthase-like protein
PF13516	10	64	5.269e-03	3.272e-03	1.172e-01	1.000e+00	Leucine Rich repeat
PF00982	3	11	1.581e-03	5.624e-04	1.209e-01	1.000e+00	Glycosyltransferase family 20
PF00909	2	5	1.054e-03	2.556e-04	1.220e-01	1.000e+00	Ammonium Transporter Family
PF01015	2	5	1.054e-03	2.556e-04	1.220e-01	1.000e+00	Ribosomal S3Ae family
PF01513	2	5	1.054e-03	2.556e-04	1.220e-01	1.000e+00	ATP-NAD kinase
PF03087	2	5	1.054e-03	2.556e-04	1.220e-01	1.000e+00	Arabidopsis protein of unknown function
PF03828	2	5	1.054e-03	2.556e-04	1.220e-01	1.000e+00	Cid1 family poly A polymerase
PF03931	2	5	1.054e-03	2.556e-04	1.220e-01	1.000e+00	Skp1 family, tetramerisation domain
PF08541	2	5	1.054e-03	2.556e-04	1.220e-01	1.000e+00	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
PF12698	2	5	1.054e-03	2.556e-04	1.220e-01	1.000e+00	ABC-2 family transporter protein
PF14571	2	5	1.054e-03	2.556e-04	1.220e-01	1.000e+00	Stress-induced protein Di19, C-terminal
PF13561	4	18	2.107e-03	9.203e-04	1.247e-01	1.000e+00	Enoyl-(Acyl carrier protein) reductase
PF00504	7	43	3.688e-03	2.199e-03	1.504e-01	1.000e+00	Chlorophyll A-B binding protein
PF00307	2	6	1.054e-03	3.068e-04	1.534e-01	1.000e+00	Calponin homology (CH) domain
PF04578	2	6	1.054e-03	3.068e-04	1.534e-01	1.000e+00	Protein of unknown function, DUF594
PF04833	2	6	1.054e-03	3.068e-04	1.534e-01	1.000e+00	COBRA-like protein
PF04998	2	6	1.054e-03	3.068e-04	1.534e-01	1.000e+00	RNA polymerase Rpb1, domain 5
PF05605	2	6	1.054e-03	3.068e-04	1.534e-01	1.000e+00	Drought induced 19 protein (Di19), zinc-binding
PF05686	2	6	1.054e-03	3.068e-04	1.534e-01	1.000e+00	Glycosyl transferase family 90
PF05691	2	6	1.054e-03	3.068e-04	1.534e-01	1.000e+00	Raffinose synthase or seed imbibition protein Sip1
PF10584	2	6	1.054e-03	3.068e-04	1.534e-01	1.000e+00	Proteasome subunit A N-terminal signature
PF16016	2	6	1.054e-03	3.068e-04	1.534e-01	1.000e+00	VAD1 Analog of StAR-related lipid transfer domain
PF17815	2	6	1.054e-03	3.068e-04	1.534e-01	1.000e+00	PDZ domain
PF00082	3	13	1.581e-03	6.647e-04	1.635e-01	1.000e+00	Subtilase family
PF03936	3	13	1.581e-03	6.647e-04	1.635e-01	1.000e+00	Terpene synthase family, metal binding domain
PF17919	3	13	1.581e-03	6.647e-04	1.635e-01	1.000e+00	RNase H-like domain found in reverse transcriptase
PF02536	6	36	3.161e-03	1.841e-03	1.637e-01	1.000e+00	mTERF
PF00089	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Trypsin
PF00144	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Beta-lactamase
PF00283	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits
PF00284	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit
PF01111	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Cyclin-dependent kinase regulatory subunit
PF01439	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Metallothionein
PF01730	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	UreF
PF01783	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Ribosomal L32p protein family
PF02238	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Cytochrome c oxidase subunit VII
PF02245	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Methylpurine-DNA glycosylase (MPG)
PF02704	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Gibberellin regulated protein
PF03121	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Herpesviridae UL52/UL70 DNA primase
PF03386	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Early nodulin 93 ENOD93 protein
PF03966	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Trm112p-like protein
PF03989	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	DNA gyrase C-terminal domain, beta-propeller
PF04057	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Replication factor-A protein 1, N-terminal domain
PF04061	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	ORMDL family
PF04172	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	LrgB-like family
PF04212	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	MIT (microtubule interacting and transport) domain
PF04938	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Survival motor neuron (SMN) interacting protein 1 (SIP1)
PF05160	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	DSS1/SEM1 family
PF05178	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	KRI1-like family
PF05251	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Oligosaccharyltransferase subunit 5
PF05486	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Signal recognition particle 9 kDa protein (SRP9)
PF05493	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	ATP synthase subunit H
PF05899	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Protein of unknown function (DUF861)
PF06417	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Protein of unknown function (DUF1077)
PF06460	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Coronavirus 2'-O-methyltransferase
PF06470	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	SMC proteins Flexible Hinge Domain
PF06695	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Putative small multi-drug export protein
PF07557	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Shugoshin C terminus
PF07652	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Flavivirus DEAD domain
PF07911	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Protein of unknown function (DUF1677)
PF07939	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Protein of unknown function (DUF1685)
PF08038	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	TOM7 family
PF08243	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	SPT2 chromatin protein
PF08378	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Nuclease-related domain
PF08446	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	PAS fold
PF08774	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	VRR-NUC domain
PF08991	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Mature-T-Cell Proliferation I type
PF09174	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Maf1 regulator
PF09340	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Histone acetyltransferase subunit NuA4
PF09495	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Protein of unknown function (DUF2462)
PF09585	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Conserved hypothetical protein (Lin0512_fam)
PF09803	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Pet100
PF10063	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Uncharacterized integral membrane protein (DUF2301)
PF10203	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Cytochrome c oxidase assembly protein PET191
PF10391	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Fingers domain of DNA polymerase lambda
PF10839	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Protein of unknown function (DUF2647)
PF11016	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Protein of unknown function (DUF2854)
PF11210	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Protein of unknown function (DUF2996)
PF11282	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Protein of unknown function (DUF3082)
PF11707	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Ribosome 60S biogenesis N-terminal
PF12095	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Protein CHLORORESPIRATORY REDUCTION 7
PF12734	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Cysteine-rich TM module stress tolerance
PF12923	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Ribosomal RNA-processing protein 7 (RRP7) C-terminal domain
PF12936	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	KRI1-like family C-terminal
PF13386	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Cytochrome C biogenesis protein transmembrane region
PF14547	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Hydrophobic seed protein
PF14716	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Helix-hairpin-helix domain
PF14791	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	DNA polymerase beta thumb
PF14792	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	DNA polymerase beta palm
PF15044	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Mitochondrial function, CLU-N-term
PF16053	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Mitochondrial 28S ribosomal protein S34
PF16275	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Splicing factor 1 helix-hairpin domain
PF16740	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Spindle and kinetochore-associated protein 2
PF16851	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Stomagen
PF18253	1	1	5.269e-04	5.113e-05	1.692e-01	1.000e+00	Hsp70-interacting protein N N-terminal domain
PF00583	4	21	2.107e-03	1.074e-03	1.757e-01	1.000e+00	Acetyltransferase (GNAT) family
PF12819	4	21	2.107e-03	1.074e-03	1.757e-01	1.000e+00	Malectin-like domain
PF00954	6	37	3.161e-03	1.892e-03	1.770e-01	1.000e+00	S-locus glycoprotein domain
PF04564	5	29	2.634e-03	1.483e-03	1.784e-01	1.000e+00	U-box domain
PF00448	2	7	1.054e-03	3.579e-04	1.862e-01	1.000e+00	SRP54-type protein, GTPase domain
PF02681	2	7	1.054e-03	3.579e-04	1.862e-01	1.000e+00	Divergent PAP2 family
PF02797	2	7	1.054e-03	3.579e-04	1.862e-01	1.000e+00	Chalcone and stilbene synthases, C-terminal domain
PF04053	2	7	1.054e-03	3.579e-04	1.862e-01	1.000e+00	Coatomer WD associated region
PF04389	2	7	1.054e-03	3.579e-04	1.862e-01	1.000e+00	Peptidase family M28
PF08381	2	7	1.054e-03	3.579e-04	1.862e-01	1.000e+00	Transcription factor regulating root and shoot growth via Pin3
PF00305	3	14	1.581e-03	7.158e-04	1.862e-01	1.000e+00	Lipoxygenase
PF03407	3	14	1.581e-03	7.158e-04	1.862e-01	1.000e+00	Nucleotide-diphospho-sugar transferase
PF03492	3	14	1.581e-03	7.158e-04	1.862e-01	1.000e+00	SAM dependent carboxyl methyltransferase
PF17766	3	14	1.581e-03	7.158e-04	1.862e-01	1.000e+00	Fibronectin type-III domain
PF03141	4	22	2.107e-03	1.125e-03	1.941e-01	1.000e+00	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF12274	4	22	2.107e-03	1.125e-03	1.941e-01	1.000e+00	Protein of unknown function (DUF3615)
PF07717	3	15	1.581e-03	7.669e-04	2.097e-01	1.000e+00	Oligonucleotide/oligosaccharide-binding (OB)-fold
PF13359	3	15	1.581e-03	7.669e-04	2.097e-01	1.000e+00	DDE superfamily endonuclease
PF00137	2	8	1.054e-03	4.090e-04	2.198e-01	1.000e+00	ATP synthase subunit C
PF01429	2	8	1.054e-03	4.090e-04	2.198e-01	1.000e+00	Methyl-CpG binding domain
PF01566	2	8	1.054e-03	4.090e-04	2.198e-01	1.000e+00	Natural resistance-associated macrophage protein
PF02892	2	8	1.054e-03	4.090e-04	2.198e-01	1.000e+00	BED zinc finger
PF03088	2	8	1.054e-03	4.090e-04	2.198e-01	1.000e+00	Strictosidine synthase
PF03727	2	8	1.054e-03	4.090e-04	2.198e-01	1.000e+00	Hexokinase
PF07765	2	8	1.054e-03	4.090e-04	2.198e-01	1.000e+00	KIP1-like protein
PF14215	2	8	1.054e-03	4.090e-04	2.198e-01	1.000e+00	bHLH-MYC and R2R3-MYB transcription factors N-terminal
PF13417	4	24	2.107e-03	1.227e-03	2.324e-01	1.000e+00	Glutathione S-transferase, N-terminal domain
PF00223	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Photosystem I psaA/psaB protein
PF00313	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	'Cold-shock' DNA-binding domain
PF00420	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L
PF00430	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	ATP synthase B/B' CF(0)
PF00471	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Ribosomal protein L33
PF00631	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	GGL domain
PF00645	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
PF00830	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Ribosomal L28 family
PF00889	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Elongation factor TS
PF01026	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	TatD related DNase
PF01058	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	NADH ubiquinone oxidoreductase, 20 Kd subunit
PF01154	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Hydroxymethylglutaryl-coenzyme A synthase N terminal
PF01194	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	RNA polymerases N / 8 kDa subunit
PF01267	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	F-actin capping protein alpha subunit
PF01288	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
PF01333	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Apocytochrome F, C-terminal
PF01454	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	MAGE family
PF01541	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	GIY-YIG catalytic domain
PF01632	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Ribosomal protein L35
PF01712	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Deoxynucleoside kinase
PF01733	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Nucleoside transporter
PF01777	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Ribosomal L27e protein family
PF01857	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Retinoblastoma-associated protein B domain
PF01858	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Retinoblastoma-associated protein A domain
PF02167	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Cytochrome C1 family
PF02427	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Photosystem I reaction centre subunit IV / PsaE
PF02617	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	ATP-dependent Clp protease adaptor protein ClpS
PF02684	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Lipid-A-disaccharide synthetase
PF02751	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Transcription initiation factor IIA, gamma subunit
PF02837	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Glycosyl hydrolases family 2, sugar binding domain
PF02929	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Beta galactosidase small chain
PF03351	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	DOMON domain
PF03367	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	ZPR1 zinc-finger domain
PF03643	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Vacuolar protein sorting-associated protein 26
PF03893	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Lipase 3 N-terminal region
PF03942	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	DTW domain
PF04065	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Not1 N-terminal domain, CCR4-Not complex component
PF04157	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	EAP30/Vps36 family
PF04493	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	Endonuclease V
PF04571	1	2	5.269e-04	1.023e-04	2.427e-01	1.000e+00	lipin, N-terminal conserved region
