<omega>	pairs	n_of_seqs	file
0.51	6	4	my_22291_TR7948-c0_g1_i1_aln.fna
0.2	36	9	my_25456_TR10741-c0_g1_i1_aln.fna
0	6	4	my_157099_TCONS_00048056_aln.fna
0.37	6	4	my_54252_TR26640-c0_g1_i1_aln.fna
0.71	6	4	my_105022_TR14292-c1_g3_i1_aln.fna
0.79	6	4	my_28003_TR30123-c0_g2_i1_aln.fna
0.18	10	5	my_102860_TR25934-c0_g1_i1_aln.fna
0	6	4	my_250153_TR8146-c0_g2_i1_aln.fna
0.49	36	9	my_66016_TR18045-c3_g1_i1_aln.fna
0	105	15	my_19038_TR6818-c0_g1_i1_aln.fna
0	45	10	my_35240_TR9892-c0_g1_i1_aln.fna
0	15	6	my_133229_TR12291-c0_g1_i1_aln.fna
0	28	8	my_25693_TR25837-c1_g1_i1_aln.fna
0.04	105	15	my_19202_TR2320-c0_g2_i1_aln.fna
0.15	28	8	my_35945_TR22199-c0_g1_i1_aln.fna
0	6	4	my_258483_TR25318-c0_g1_i1_aln.fna
0	21	7	my_32568_TR3378-c1_g1_i1_aln.fna
0	6	4	my_139460_TR9794-c0_g1_i1_aln.fna
0.58	10	5	my_33276_TR23779-c0_g1_i1_aln.fna
0.09	105	15	my_14096_TR30860-c0_g1_i1_aln.fna
0	28	8	my_29672_TR31995-c0_g1_i1_aln.fna
0	15	6	my_35201_TR5313-c0_g1_i1_aln.fna
0.52	6	4	my_29332_TR17151-c2_g3_i4_aln.fna
0	6	4	my_255204_TR33764-c0_g1_i1_aln.fna
0	10	5	my_94617_TR7111-c0_g1_i1_aln.fna
0	6	4	my_217220_TR19411-c0_g1_i4_aln.fna
0	21	7	my_24929_TR2766-c0_g1_i1_aln.fna
0	6	4	my_66155_TR1139-c0_g1_i1_aln.fna
0.32	10	5	my_20855_TR12752-c0_g1_i1_aln.fna
0.21	21	7	my_64870_TR8986-c1_g3_i1_aln.fna
0	28	8	my_27132_TR30589-c0_g1_i1_aln.fna
1.07	6	4	my_24188_TR13347-c0_g1_i1_aln.fna
0.65	91	14	my_21218_TR36310-c0_g2_i1_aln.fna
0	6	4	my_300042_TR2439-c0_g1_i1_aln.fna
0	120	16	my_33717_TR2544-c0_g1_i1_aln.fna
0	6	4	my_174854_TCONS_00005680_aln.fna
0	15	6	my_22163_TR36180-c3_g1_i1_aln.fna
1.26	10	5	my_139174_TR24027-c0_g1_i1_aln.fna
1.52	10	5	my_34678_TR30613-c0_g1_i1_aln.fna
0	45	10	my_22860_TR975-c0_g1_i1_aln.fna
0	10	5	my_96573_TR2104-c0_g1_i1_aln.fna
0	21	7	my_216774_TR3269-c0_g1_i1_aln.fna
0.66	36	9	my_69347_TR1123-c0_g1_i1_aln.fna
0	21	7	my_64975_TR26445-c0_g1_i1_aln.fna
0.26	6	4	my_243689_TR33618-c0_g1_i2_aln.fna
0	6	4	my_24052_TR16166-c0_g1_i1_aln.fna
0	45	10	my_73021_TR20843-c1_g1_i1_aln.fna
0.12	15	6	my_30139_TR16771-c0_g1_i1_aln.fna
0.04	66	12	my_54617_TR7320-c0_g1_i1_aln.fna
0.06	120	16	my_13286_TR11850-c0_g1_i1_aln.fna
0	78	13	my_56423_TR34033-c0_g1_i1_aln.fna
0.36	10	5	my_62746_TR3988-c0_g1_i4_aln.fna
0.81	6	4	my_33493_TR30428-c0_g1_i1_aln.fna
0	6	4	my_63387_TR2424-c0_g1_i1_aln.fna
0	15	6	my_105563_TR3008-c0_g1_i1_aln.fna
0	6	4	my_163923_TCONS_00046507_aln.fna
0.1	36	9	my_105476_TR24061-c0_g1_i1_aln.fna
0	10	5	my_33253_TR19231-c0_g1_i1_aln.fna
0	10	5	my_69109_TR27530-c0_g1_i1_aln.fna
0.05	21	7	my_26116_TR33495-c0_g3_i3_aln.fna
0	10	5	my_63621_TR3429-c0_g1_i1_aln.fna
0.02	6	4	my_29648_TR27586-c0_g1_i1_aln.fna
0.19	66	12	my_22597_TR29688-c0_g1_i1_aln.fna
0.26	10	5	my_67243_TR17003-c0_g1_i1_aln.fna
0	6	4	my_61358_TR17418-c0_g1_i1_aln.fna
0	6	4	my_211873_TR18807-c1_g1_i1_aln.fna
0	10	5	my_105661_TR20273-c1_g1_i12_aln.fna
0	10	5	my_60923_TR35906-c0_g1_i1_aln.fna
0.44	6	4	my_67675_TR31759-c0_g2_i1_aln.fna
0	28	8	my_33877_TR30859-c0_g1_i1_aln.fna
0.81	6	4	my_289177_TR27981-c0_g1_i1_aln.fna
0.24	15	6	my_214784_TR5221-c0_g1_i1_aln.fna
0.36	6	4	my_135577_TR29370-c0_g1_i1_aln.fna
0	6	4	my_35804_TR31440-c0_g1_i1_aln.fna
1.06	36	9	my_22546_TR12708-c0_g1_i1_aln.fna
0	36	9	my_35996_TR33134-c0_g1_i1_aln.fna
0.83	10	5	my_136540_TR15483-c0_g1_i1_aln.fna
0.82	28	8	my_32883_TR22046-c0_g1_i1_aln.fna
0	6	4	my_68341_TR12606-c0_g1_i1_aln.fna
0	10	5	my_24006_TR3535-c0_g1_i1_aln.fna
0.03	10	5	my_62040_TR22501-c0_g1_i1_aln.fna
0.11	120	16	my_8934_TR34727-c0_g1_i1_aln.fna
0.69	10	5	my_103787_TR20245-c0_g1_i1_aln.fna
0	21	7	my_210033_TR15318-c0_g1_i1_aln.fna
0	10	5	my_29319_TR14637-c0_g3_i2_aln.fna
0	78	13	my_34889_TR29942-c0_g1_i1_aln.fna
0	6	4	my_31550_TR33156-c0_g1_i1_aln.fna
1.09	6	4	my_32483_TR29322-c1_g1_i2_aln.fna
0	91	14	my_13171_TR31025-c0_g1_i1_aln.fna
0.32	6	4	my_91465_TR12246-c0_g1_i1_aln.fna
0	28	8	my_26147_TR3380-c0_g1_i1_aln.fna
0	6	4	my_219511_TR10723-c0_g1_i1_aln.fna
0	6	4	my_133624_TR5853-c0_g1_i1_aln.fna
0	21	7	my_26397_TR13146-c0_g1_i1_aln.fna
0.02	21	7	my_16020_TR14639-c0_g1_i1_aln.fna
0.02	36	9	my_32646_TR16400-c1_g1_i1_aln.fna
0.18	6	4	my_31972_TR12631-c0_g1_i1_aln.fna
0	10	5	my_63500_TR19414-c0_g1_i1_aln.fna
0.41	6	4	my_214199_TR3983-c0_g1_i1_aln.fna
0.68	28	8	my_68913_TR22560-c0_g1_i1_aln.fna
0	6	4	my_32774_TR1650-c0_g1_i1_aln.fna
0	66	12	my_19033_TR3790-c1_g1_i1_aln.fna
0	15	6	my_30213_TR24204-c0_g1_i1_aln.fna
0.29	45	10	my_8745_TR31916-c1_g1_i1_aln.fna
0	21	7	my_28944_TR32064-c0_g1_i1_aln.fna
0.41	10	5	my_165942_TCONS_00010468_aln.fna
0.61	6	4	my_62831_TR19688-c0_g1_i1_aln.fna
0	6	4	my_248059_TR37379-c1_g1_i1_aln.fna
0	6	4	my_131680_TR23679-c0_g1_i1_aln.fna
0	6	4	my_29903_TR24299-c1_g1_i1_aln.fna
0	36	9	my_27225_TR9187-c0_g1_i1_aln.fna
0	6	4	my_64710_TR17789-c0_g1_i1_aln.fna
0	91	14	my_23130_TR28351-c0_g1_i1_aln.fna
0.62	15	6	my_104394_TR33545-c0_g1_i1_aln.fna
0.67	15	6	my_96757_TR6093-c1_g1_i1_aln.fna
0	6	4	my_28189_TR23204-c0_g2_i1_aln.fna
0.11	21	7	my_25567_TR35987-c0_g1_i1_aln.fna
0	120	16	my_18143_TR19392-c0_g2_i1_aln.fna
0.18	21	7	my_30730_TR11934-c0_g1_i1_aln.fna
0.18	120	16	my_4149_TR10240-c0_g1_i1_aln.fna
0	21	7	my_51715_TR13632-c0_g1_i1_aln.fna
0.3	78	13	my_32975_TR2979-c1_g1_i1_aln.fna
0	28	8	my_97778_TR4475-c0_g1_i1_aln.fna
0.01	66	12	my_34804_TR14059-c0_g1_i1_aln.fna
0	21	7	my_98555_TR35001-c0_g1_i1_aln.fna
0.04	15	6	my_19675_TR6193-c0_g1_i1_aln.fna
0.33	21	7	my_64619_TR6585-c0_g1_i1_aln.fna
0	36	9	my_56236_TR7568-c0_g1_i2_aln.fna
0	21	7	my_23392_TR26416-c0_g1_i2_aln.fna
0.01	10	5	my_61771_TR13212-c0_g1_i1_aln.fna
0	6	4	my_286552_TR40682-c0_g1_i1_aln.fna
0.16	36	9	my_30775_TR17316-c0_g1_i1_aln.fna
0.12	28	8	my_102610_TR35297-c0_g1_i1_aln.fna
0.1	21	7	my_19679_TR7297-c0_g1_i1_aln.fna
0.6	10	5	my_99733_TR33198-c4_g1_i1_aln.fna
0.61	6	4	my_69408_TR12505-c0_g1_i1_aln.fna
0.73	10	5	my_185003_TCONS_00029462_aln.fna
0	10	5	my_62705_TR34398-c0_g1_i1_aln.fna
0.18	6	4	my_457167_TR10406-c0_g1_i1_aln.fna
0	10	5	my_211590_TR3891-c1_g1_i1_aln.fna
0.79	6	4	my_140143_TR15302-c0_g1_i1_aln.fna
0.35	6	4	my_215444_TR20233-c0_g1_i1_aln.fna
0	6	4	my_69739_TR4885-c0_g1_i1_aln.fna
0.18	28	8	my_19481_TR25447-c0_g1_i1_aln.fna
0.28	6	4	my_32995_TR7516-c0_g1_i1_aln.fna
0.12	15	6	my_65668_TR9842-c0_g1_i1_aln.fna
0	55	11	my_33011_TR10755-c1_g1_i1_aln.fna
0.06	45	10	my_182426_TCONS_00036594_aln.fna
0	6	4	my_25103_TR9847-c0_g1_i1_aln.fna
0	10	5	my_218797_TR33575-c0_g1_i1_aln.fna
0.27	6	4	my_171364_TCONS_00047617_aln.fna
0.34	28	8	my_31268_TR4496-c0_g2_i1_aln.fna
0	6	4	my_68196_TR22023-c0_g1_i1_aln.fna
0	120	16	my_20601_TR17393-c0_g1_i1_aln.fna
0	91	14	my_26223_TR19533-c0_g2_i2_aln.fna
0	21	7	my_100777_TR31914-c0_g1_i1_aln.fna
0	6	4	my_257091_TR7952-c0_g3_i1_aln.fna
0	15	6	my_138731_TR10237-c0_g1_i1_aln.fna
0.07	10	5	my_33513_TR35719-c0_g1_i1_aln.fna
0	6	4	my_208542_TR9256-c0_g1_i1_aln.fna
0	10	5	my_65519_TR27099-c0_g1_i1_aln.fna
0	6	4	my_34604_TR15465-c0_g1_i1_aln.fna
0	15	6	my_34717_TR274-c0_g1_i1_aln.fna
0	120	16	my_7913_TR33984-c0_g1_i1_aln.fna
0.2	6	4	my_331507_TR20255-c0_g1_i1_aln.fna
0.46	36	9	my_30738_TR12531-c1_g1_i1_aln.fna
0.15	78	13	my_28686_TR26273-c0_g1_i1_aln.fna
0	15	6	my_252787_TR16842-c0_g1_i1_aln.fna
1	10	5	my_68176_TR18076-c0_g1_i1_aln.fna
0.69	6	4	my_413883_MLOC_81229_aln.fna
0.02	6	4	my_156101_TCONS_00034715_aln.fna
0	6	4	my_206213_TR9194-c0_g1_i1_aln.fna
0	6	4	my_34100_TR34937-c0_g1_i1_aln.fna
0	36	9	my_103903_TR7246-c0_g1_i1_aln.fna
0	28	8	my_61214_TR25087-c2_g1_i1_aln.fna
0.35	6	4	my_185956_TCONS_00042882_aln.fna
1.42	6	4	my_33435_TR19043-c0_g2_i1_aln.fna
0	6	4	my_58690_TR13615-c0_g1_i1_aln.fna
0	6	4	my_60596_TR5118-c0_g1_i1_aln.fna
0	21	7	my_30519_TR22430-c0_g1_i2_aln.fna
0	36	9	my_34558_TR7937-c0_g1_i1_aln.fna
0	6	4	my_25370_TR27837-c0_g1_i1_aln.fna
0	6	4	my_35509_TR20240-c0_g1_i1_aln.fna
0	120	16	my_27472_TR18476-c0_g1_i1_aln.fna
0	120	16	my_26422_TR17483-c0_g1_i1_aln.fna
2.34	21	7	my_26122_TR34234-c0_g1_i1_aln.fna
0	10	5	my_70551_TR12587-c0_g2_i1_aln.fna
0	28	8	my_68803_TR32330-c0_g1_i1_aln.fna
0.1	10	5	my_59311_TR22109-c1_g1_i1_aln.fna
0	6	4	my_105609_TR11381-c0_g1_i1_aln.fna
0	6	4	my_32583_TR5459-c0_g1_i1_aln.fna
0	10	5	my_218544_TR15738-c0_g1_i1_aln.fna
1.44	10	5	my_33876_TR30757-c0_g1_i1_aln.fna
0	15	6	my_31876_TR34984-c0_g2_i1_aln.fna
0	10	5	my_32931_TR31051-c0_g1_i1_aln.fna
0	6	4	my_61710_TR5236-c0_g1_i1_aln.fna
0.01	120	16	my_19092_TR30708-c0_g1_i1_aln.fna
0.24	21	7	my_28291_TR2034-c0_g1_i1_aln.fna
0.25	6	4	my_67644_TR28318-c0_g1_i1_aln.fna
0	120	16	my_17962_TR36340-c0_g1_i1_aln.fna
0.23	21	7	my_29238_TR1214-c0_g1_i1_aln.fna
0.25	6	4	my_56985_TR28775-c0_g1_i1_aln.fna
0.28	10	5	my_185173_TCONS_00016560_aln.fna
0	15	6	my_25459_TR12054-c0_g1_i1_aln.fna
0.07	10	5	my_27358_TR33217-c0_g1_i1_aln.fna
0	78	13	my_25424_TR1943-c0_g3_i1_aln.fna
0	28	8	my_20570_TR4633-c0_g1_i1_aln.fna
0	91	14	my_30246_TR26870-c0_g1_i1_aln.fna
0.16	6	4	my_245220_TR29416-c0_g1_i1_aln.fna
0	10	5	my_68199_TR22923-c0_g1_i1_aln.fna
0.11	6	4	my_253799_TR26427-c0_g1_i1_aln.fna
0	120	16	my_11022_TR32231-c0_g2_i1_aln.fna
0	45	10	my_22823_TR27098-c0_g1_i1_aln.fna
0	55	11	my_13485_TR23869-c3_g1_i1_aln.fna
0	6	4	my_210463_TR30235-c0_g1_i1_aln.fna
0.12	6	4	my_99393_TR22935-c0_g1_i1_aln.fna
0.14	91	14	my_10817_TR36302-c1_g1_i1_aln.fna
0	78	13	my_24469_TR1011-c0_g1_i1_aln.fna
0	15	6	my_21925_TR24561-c0_g1_i1_aln.fna
0.27	6	4	my_32987_TR5685-c0_g1_i1_aln.fna
0	6	4	my_98453_TR16875-c0_g1_i1_aln.fna
0	55	11	my_33127_TR32435-c2_g1_i2_aln.fna
0	66	12	my_28634_TR17173-c0_g1_i1_aln.fna
0.07	36	9	my_132803_TR8472-c0_g1_i1_aln.fna
0.02	15	6	my_140415_TR27813-c0_g1_i1_aln.fna
0	15	6	my_34106_TR35622-c0_g1_i1_aln.fna
0	6	4	my_418578_MLOC_30502_aln.fna
0	78	13	my_25703_TR27815-c0_g1_i1_aln.fna
0	10	5	my_31780_TR22479-c0_g1_i1_aln.fna
1.05	6	4	my_62197_TR14816-c0_g1_i1_aln.fna
0	6	4	my_22312_TR14349-c0_g1_i1_aln.fna
0.36	6	4	my_57879_TR15786-c0_g1_i1_aln.fna
0.09	10	5	my_183625_TCONS_00019463_aln.fna
0.12	6	4	my_29203_TR34254-c0_g1_i1_aln.fna
2.12	21	7	my_133985_TR27759-c0_g1_i1_aln.fna
0.06	6	4	my_33703_TR36095-c0_g1_i1_aln.fna
0	10	5	my_94634_TR10765-c0_g1_i1_aln.fna
0.15	10	5	my_294002_TR17202-c0_g1_i1_aln.fna
0	10	5	my_160358_TCONS_00036918_aln.fna
0	10	5	my_249895_TR5114-c0_g1_i1_aln.fna
0	15	6	my_32569_TR3416-c0_g2_i1_aln.fna
0.17	55	11	my_21220_TR36537-c0_g1_i1_aln.fna
0.15	45	10	my_25039_TR31421-c0_g1_i1_aln.fna
1.03	6	4	my_70037_TR26172-c0_g1_i1_aln.fna
0.06	105	15	my_18411_TR32602-c0_g1_i1_aln.fna
0.01	120	16	my_11947_TR23474-c0_g1_i1_aln.fna
0	105	15	my_26517_TR33679-c0_g1_i2_aln.fna
0.82	6	4	my_100490_TR31307-c0_g1_i1_aln.fna
0	10	5	my_88194_TR14373-c0_g1_i1_aln.fna
0	6	4	my_176537_TCONS_00010783_aln.fna
0	10	5	my_34134_TR4823-c0_g1_i1_aln.fna
0.16	10	5	my_136205_TR5830-c0_g1_i1_aln.fna
0.77	36	9	my_57868_TR11680-c0_g1_i1_aln.fna
0	36	9	my_23599_TR9646-c0_g1_i1_aln.fna
0.14	10	5	my_89441_TR26474-c0_g1_i1_aln.fna
0	10	5	my_94586_TR36064-c0_g1_i1_aln.fna
0	21	7	my_23191_TR10901-c0_g1_i1_aln.fna
0.2	36	9	my_25882_TR27775-c0_g1_i1_aln.fna
0	6	4	my_51579_TR34124-c1_g1_i1_aln.fna
0.1	28	8	my_60176_TR35226-c0_g2_i1_aln.fna
0.02	120	16	my_34676_TR30462-c0_g1_i1_aln.fna
0	6	4	my_248381_TR25610-c0_g1_i1_aln.fna
0.34	10	5	my_186686_TCONS_00027198_aln.fna
0.14	105	15	my_28429_TR23289-c0_g1_i1_aln.fna
1.72	15	6	my_62907_TR32954-c0_g1_i1_aln.fna
0	6	4	my_31182_TR31659-c1_g2_i1_aln.fna
0	6	4	my_333825_TR16002-c0_g2_i1_aln.fna
0	21	7	my_97491_TR27700-c1_g1_i2_aln.fna
0	55	11	my_32016_TR17667-c3_g1_i1_aln.fna
0.2	10	5	my_61755_TR11449-c0_g1_i1_aln.fna
0	6	4	my_58754_TR28826-c0_g1_i1_aln.fna
0	45	10	my_20215_TR12186-c0_g1_i1_aln.fna
0	6	4	my_32611_TR10397-c0_g1_i1_aln.fna
0	21	7	my_186358_TCONS_00021451_aln.fna
0.73	15	6	my_26537_TR229-c0_g1_i1_aln.fna
0	21	7	my_33946_TR4453-c0_g1_i1_aln.fna
0.29	21	7	my_93912_TR7411-c0_g1_i1_aln.fna
0	10	5	my_331699_TR10286-c0_g1_i1_aln.fna
0.33	10	5	my_97879_TR19866-c0_g3_i1_aln.fna
0.26	10	5	my_256831_TR35658-c0_g3_i1_aln.fna
0.01	6	4	my_24544_TR25603-c0_g1_i1_aln.fna
0.04	105	15	my_14167_TR16529-c0_g1_i1_aln.fna
0.52	15	6	my_29922_TR26579-c0_g1_i1_aln.fna
0.59	15	6	my_57763_TR19144-c0_g1_i1_aln.fna
0	36	9	my_17050_TR33604-c0_g1_i1_aln.fna
0	55	11	my_24540_TR25253-c0_g1_i1_aln.fna
0.02	15	6	my_31561_TR35132-c0_g1_i1_aln.fna
0	10	5	my_34994_TR8325-c0_g1_i1_aln.fna
0.14	28	8	my_27604_TR2338-c1_g1_i1_aln.fna
0.83	6	4	my_91070_TR36048-c0_g1_i1_aln.fna
0	6	4	my_140437_TR33562-c1_g1_i1_aln.fna
0.28	15	6	my_31844_TR31733-c0_g1_i1_aln.fna
0	10	5	my_61867_TR30859-c0_g1_i1_aln.fna
0.03	45	10	my_22196_TR8956-c0_g1_i1_aln.fna
0.62	6	4	my_130476_TR22361-c0_g1_i1_aln.fna
0.34	10	5	my_34940_TR35528-c1_g1_i1_aln.fna
0	6	4	my_34333_TR2398-c0_g2_i1_aln.fna
0.54	15	6	my_67250_TR17696-c0_g1_i1_aln.fna
0.81	15	6	my_27613_TR5073-c1_g1_i1_aln.fna
0	10	5	my_70441_TR26695-c0_g1_i1_aln.fna
0.11	15	6	my_56856_TR20422-c0_g1_i1_aln.fna
0	120	16	my_4712_TR1447-c1_g3_i1_aln.fna
0.76	6	4	my_396694_MLOC_20260_aln.fna
0.13	120	16	my_15750_TR9597-c0_g1_i1_aln.fna
0	120	16	my_12729_TR24818-c0_g1_i1_aln.fna
0	66	12	my_16180_TR31044-c0_g1_i1_aln.fna
0	10	5	my_63351_TR33908-c0_g1_i1_aln.fna
0.31	6	4	my_33269_TR21992-c0_g1_i1_aln.fna
0.08	36	9	my_28920_TR29228-c0_g1_i1_aln.fna
0	21	7	my_32020_TR18168-c0_g1_i1_aln.fna
0	66	12	my_23906_TR15481-c0_g1_i2_aln.fna
0	10	5	my_126743_TR30147-c0_g1_i1_aln.fna
0	10	5	my_21178_TR23102-c0_g1_i1_aln.fna
0	6	4	my_70417_TR23402-c0_g1_i1_aln.fna
0	28	8	my_129686_TR19830-c0_g1_i1_aln.fna
0.68	21	7	my_104231_TR31618-c0_g1_i1_aln.fna
0	120	16	my_12728_TR24231-c0_g1_i1_aln.fna
0	10	5	my_33434_TR18845-c0_g1_i1_aln.fna
0	28	8	my_106466_TR13336-c0_g1_i1_aln.fna
0.02	6	4	my_182457_TCONS_00009670_aln.fna
0.14	10	5	my_30925_TR35260-c0_g1_i1_aln.fna
0.23	10	5	my_32629_TR13346-c0_g1_i1_aln.fna
0	21	7	my_23737_TR11104-c0_g1_i4_aln.fna
0.08	6	4	my_93289_TR17494-c0_g1_i1_aln.fna
0	6	4	my_28023_TR33942-c0_g1_i1_aln.fna
0	15	6	my_65838_TR29218-c0_g1_i1_aln.fna
0.05	6	4	my_171912_TCONS_00047460_aln.fna
0.04	120	16	my_26962_TR3675-c0_g1_i1_aln.fna
0	10	5	my_60145_TR26731-c1_g1_i1_aln.fna
0	10	5	my_19932_TR2042-c0_g1_i1_aln.fna
0	10	5	my_32306_TR11931-c0_g1_i1_aln.fna
0	15	6	my_130325_TR20585-c1_g1_i1_aln.fna
0	6	4	my_208720_TR19765-c3_g6_i2_aln.fna
0	28	8	my_34665_TR27581-c0_g1_i1_aln.fna
0	21	7	my_97766_TR2212-c0_g1_i1_aln.fna
0	120	16	my_16098_TR21267-c0_g1_i1_aln.fna
0	10	5	my_135786_TR22911-c0_g1_i1_aln.fna
0	6	4	my_213316_TR13598-c0_g1_i1_aln.fna
0	6	4	my_411215_MLOC_65927_aln.fna
0	21	7	my_28991_TR1684-c0_g1_i1_aln.fna
0.68	10	5	my_20408_TR14856-c0_g1_i1_aln.fna
0	28	8	my_14993_TR31380-c0_g2_i1_aln.fna
0.04	45	10	my_13830_TR17232-c0_g1_i1_aln.fna
0	6	4	my_104240_TR34521-c0_g1_i1_aln.fna
0.65	6	4	my_217589_TR11806-c0_g1_i1_aln.fna
0	6	4	my_35785_TR27832-c1_g3_i1_aln.fna
0	36	9	my_104505_TR18147-c0_g1_i1_aln.fna
0.21	6	4	my_31044_TR16775-c0_g1_i1_aln.fna
0	6	4	my_58107_TR7334-c0_g1_i1_aln.fna
0	6	4	my_51810_TR1444-c0_g1_i1_aln.fna
0	6	4	my_176799_TCONS_00013704_aln.fna
0	6	4	my_100357_TR12275-c0_g1_i1_aln.fna
0.08	15	6	my_57699_TR35373-c0_g1_i1_aln.fna
0.05	120	16	my_15771_TR23447-c0_g1_i1_aln.fna
0.26	15	6	my_26355_TR6341-c0_g2_i1_aln.fna
1.27	6	4	my_67428_TR4109-c0_g1_i1_aln.fna
0	6	4	my_31660_TR8968-c0_g1_i1_aln.fna
0.08	6	4	my_162625_TCONS_00010336_aln.fna
0.68	21	7	my_32893_TR23290-c0_g1_i1_aln.fna
0	15	6	my_29369_TR22435-c1_g1_i1_aln.fna
0	10	5	my_67203_TR11933-c1_g1_i2_aln.fna
0	36	9	my_18791_TR31894-c0_g1_i1_aln.fna
0.44	15	6	my_23243_TR21726-c0_g1_i1_aln.fna
0	21	7	my_70339_TR10336-c2_g1_i1_aln.fna
0	36	9	my_30402_TR8105-c0_g1_i1_aln.fna
0.26	21	7	my_21082_TR30711-c0_g1_i1_aln.fna
0.07	21	7	my_32218_TR2050-c0_g1_i1_aln.fna
0	6	4	my_298951_TR3847-c0_g1_i1_aln.fna
0.02	28	8	my_99463_TR32911-c0_g1_i1_aln.fna
0.04	78	13	my_17806_TR25889-c1_g1_i1_aln.fna
0	10	5	my_138168_TR22888-c0_g1_i1_aln.fna
0.53	45	10	my_22295_TR8676-c0_g1_i5_aln.fna
0.76	10	5	my_218309_TR27488-c0_g1_i1_aln.fna
0.37	6	4	my_286534_TR34783-c0_g1_i1_aln.fna
0	6	4	my_29428_TR31217-c0_g1_i1_aln.fna
0	28	8	my_30439_TR11923-c1_g1_i1_aln.fna
0.4	21	7	my_25861_TR23519-c1_g1_i1_aln.fna
0.39	120	16	my_15764_TR20860-c0_g1_i1_aln.fna
0	15	6	my_216537_TR9811-c1_g1_i1_aln.fna
0	45	10	my_28029_TR34742-c0_g1_i1_aln.fna
